 ,X,Y
306,1056.475,293.190
307,341.623,297.600
308,366.955,296.000
309,942.598,296.808
310,1027.872,298.868
311,577.213,299.104
312,1100.883,300.810
313,187.280,302.701
314,477.487,303.598
315,913.481,305.225
316,135.585,301.335
317,688.378,306.485
318,614.896,307.089
319,1077.470,308.338
320,639.441,307.615
321,108.874,312.016
322,163.197,313.127
323,598.166,310.186
324,665.080,317.832
325,1057.048,318.061
326,357.116,313.735
327,436.865,317.651
328,468.881,315.311
329,956.684,315.182
330,1115.660,319.130
331,376.685,318.592
332,1022.200,319.559
333,138.851,319.446
334,482.073,318.063
335,228.441,323.661
336,451.263,321.874
337,1098.736,319.441
338,576.621,323.753
339,932.162,323.926
340,362.133,327.780
341,588.050,323.083
342,188.074,324.939
343,153.488,330.508
344,210.615,329.853
345,102.486,334.603
346,1073.416,328.277
347,1092.298,332.449
348,470.528,333.018
349,487.514,335.040
350,596.695,336.126
351,428.590,336.247
352,170.278,337.831
353,404.125,338.252
354,617.770,339.074
355,193.556,341.782
356,931.570,343.871
357,385.263,344.071
358,952.827,343.197
359,78.185,346.939
360,360.178,343.133
361,449.524,346.345
362,1124.077,346.863
363,219.453,354.141
364,481.324,349.990
365,669.178,354.802
366,463.511,352.533
367,983.530,356.073
368,419.274,356.240
369,97.419,364.384
370,693.458,361.857
371,177.502,357.578
372,612.795,358.153
373,951.524,358.296
374,496.357,358.873
375,1133.762,359.183
376,367.871,364.403
377,1109.520,364.813
378,78.789,364.585
379,198.008,366.240
380,243.196,362.364
381,399.987,369.776
382,601.050,370.235
383,458.524,371.250
384,489.963,371.480
385,980.481,373.276
386,1134.734,372.011
387,1154.541,371.633
388,213.749,383.182
389,474.876,377.647
390,948.877,379.477
391,964.256,377.495
392,356.826,383.569
393,622.557,384.577
394,638.050,382.928
395,390.729,383.459
396,987.238,386.631
397,1154.227,385.951
398,196.690,391.296
399,681.544,393.173
400,1114.250,390.515
401,1134.846,394.277
402,89.727,400.825
403,475.900,397.645
404,506.031,398.291
405,959.644,403.845
406,1001.865,405.246
407,372.532,401.850
408,654.757,406.823
409,983.474,409.267
410,352.661,408.595
411,708.044,411.016
412,1124.938,408.689
413,1156.505,409.462
414,631.484,411.216
415,681.391,409.337
416,382.724,414.960
417,369.001,415.864
418,479.729,419.150
419,505.797,419.117
420,526.033,419.323
421,119.803,421.179
422,263.575,427.412
423,687.703,427.136
424,1130.409,424.738
425,8.081,423.215
426,246.153,429.688
427,622.937,428.158
428,1151.226,430.701
429,664.974,428.042
430,969.810,428.919
431,98.864,431.582
432,989.682,432.811
433,215.830,433.040
434,357.783,430.784
435,487.534,435.078
436,703.061,438.550
437,1012.412,441.808
438,522.958,439.507
439,658.090,444.754
440,230.243,443.505
441,507.386,444.161
442,724.513,442.955
443,17.196,446.344
444,123.086,447.976
445,1144.306,446.959
446,218.793,449.351
447,370.385,449.095
448,107.333,451.236
449,677.347,454.490
450,710.254,452.308
451,245.458,457.288
452,90.076,456.871
453,271.589,456.639
454,646.818,460.451
455,459.861,464.457
456,990.210,464.037
457,531.009,464.565
458,688.669,463.271
459,510.987,467.255
460,1007.623,465.940
461,493.712,469.228
462,130.065,473.894
463,708.651,472.017
464,110.790,472.663
465,228.715,471.444
466,387.421,471.034
467,83.654,471.140
468,260.423,476.493
469,680.761,475.443
470,732.238,473.716
471,33.870,473.424
472,371.318,476.831
473,659.264,477.501
474,517.731,481.111
475,532.452,477.779
476,648.691,482.185
477,13.995,480.577
478,479.917,485.184
479,41.029,486.240
480,722.057,484.054
481,69.044,487.442
482,393.558,487.542
483,506.374,487.724
484,1014.485,489.410
485,103.999,491.649
486,234.243,496.107
487,252.038,496.399
488,382.703,492.842
489,12.755,495.351
490,712.474,495.233
491,754.560,496.751
492,31.999,496.716
493,491.106,500.718
494,729.429,494.183
495,123.589,503.853
496,993.119,503.098
497,93.989,504.285
498,44.893,507.761
499,265.308,505.899
500,690.208,504.770
501,144.441,507.278
502,371.277,505.293
503,398.326,508.015
504,381.063,510.994
505,721.748,508.960
506,742.391,512.586
507,769.549,517.676
508,356.535,516.146
509,26.818,522.831
510,663.256,517.996
511,676.027,519.624
512,248.121,527.794
513,372.832,520.358
514,1027.241,522.691
515,154.533,524.597
516,815.598,521.245
517,1006.627,527.431
518,133.787,528.291
519,282.141,529.535
520,52.557,528.069
521,689.266,525.109
522,354.406,527.573
523,989.246,530.349
524,116.638,535.270
525,728.866,530.737
526,399.388,536.018
527,412.809,533.676
528,658.123,534.683
529,683.612,537.487
530,773.923,539.572
531,267.490,540.449
532,380.677,544.300
533,695.102,537.086
534,29.612,540.619
535,719.015,540.475
536,171.171,548.693
537,1031.066,542.949
538,362.661,546.981
539,671.909,549.260
540,999.184,549.528
541,695.828,553.373
542,765.951,552.329
543,421.452,556.216
544,37.483,553.775
545,1019.972,562.721
546,263.796,560.168
547,716.360,562.802
548,739.040,560.361
549,784.515,561.011
550,398.012,560.748
551,1039.768,566.636
552,43.227,565.045
553,60.159,570.091
554,621.097,570.404
555,659.331,566.230
556,282.900,567.314
557,379.474,568.146
558,749.029,575.637
559,770.890,577.050
560,1007.002,578.931
561,412.614,580.792
562,734.730,577.812
563,561.442,584.069
564,671.802,580.099
565,987.998,585.714
566,709.904,583.900
567,853.654,584.947
568,795.253,584.675
569,284.042,583.772
570,839.426,585.371
571,45.747,586.325
572,69.681,590.867
573,688.056,590.293
574,205.264,586.630
575,435.020,589.945
576,643.916,590.051
577,624.385,592.941
578,1033.339,591.256
579,404.031,596.580
580,189.232,595.851
581,543.666,598.201
582,285.159,599.597
583,1049.835,600.494
584,304.743,601.740
585,793.472,603.079
586,207.329,611.770
587,269.511,608.830
588,452.678,607.097
589,566.007,606.671
590,775.711,605.071
591,707.072,609.679
592,1022.676,614.949
593,429.427,613.061
594,995.802,614.037
595,180.807,613.719
596,679.534,617.531
597,632.619,623.831
598,719.832,620.426
599,285.904,615.675
600,299.025,622.703
601,533.036,623.184
602,795.181,622.378
603,556.038,623.870
604,1043.133,633.515
605,1127.695,631.625
606,324.058,634.144
607,698.659,633.261
608,1009.182,630.062
609,305.279,632.429
610,450.268,638.840
611,578.576,633.927
612,469.625,640.036
613,542.589,638.241
614,64.234,643.192
615,87.968,642.181
616,275.135,641.649
617,433.796,643.290
618,193.777,643.652
619,207.508,642.810
620,1005.334,645.609
621,1096.897,641.965
622,223.261,645.208
623,302.772,645.772
624,720.806,646.584
625,606.109,647.970
626,654.359,646.373
627,686.386,643.143
628,1023.897,651.340
629,566.326,650.836
630,635.401,653.183
631,329.487,651.560
632,345.426,653.242
633,251.586,657.530
634,685.238,658.462
635,1135.216,657.294
636,463.673,664.087
637,285.311,660.161
638,52.609,666.076
639,549.911,661.877
640,86.303,668.748
641,207.805,662.851
642,223.706,663.735
643,310.606,662.859
644,586.014,664.938
645,707.631,667.986
646,437.405,667.373
647,1145.476,668.157
648,235.462,666.611
649,537.877,669.102
650,1004.122,671.294
651,333.865,668.823
652,615.365,675.513
653,558.443,671.488
