 ,X,Y
306,187.280,302.701
307,477.487,303.598
308,913.481,305.225
309,135.585,301.335
310,688.378,306.485
311,614.896,307.089
312,1077.470,308.338
313,639.441,307.615
314,108.874,312.016
315,163.197,313.127
316,598.166,310.186
317,665.080,317.832
318,1057.048,318.061
319,357.116,313.735
320,436.865,317.651
321,468.881,315.311
322,956.684,315.182
323,1115.660,319.130
324,376.685,318.592
325,1022.200,319.559
326,138.851,319.446
327,228.441,323.661
328,451.263,321.874
329,1098.736,319.441
330,576.621,323.753
331,932.162,323.926
332,362.133,327.780
333,588.050,323.083
334,188.074,324.939
335,153.488,330.508
336,210.615,329.853
337,102.486,334.603
338,1073.416,328.277
339,1092.298,332.449
340,470.528,333.018
341,487.514,335.040
342,596.695,336.126
343,428.590,336.247
344,170.278,337.831
345,404.125,338.252
346,617.770,339.074
347,193.556,341.782
348,931.570,343.871
349,385.263,344.071
350,952.827,343.197
351,78.185,346.939
352,360.178,343.133
353,449.524,346.345
354,1124.077,346.863
355,219.453,354.141
356,481.324,349.990
357,669.178,354.802
358,463.511,352.533
359,983.530,356.073
360,419.274,356.240
361,97.419,364.384
362,693.458,361.857
363,177.502,357.578
364,612.795,358.153
365,951.524,358.296
366,496.357,358.873
367,1133.762,359.183
368,367.871,364.403
369,1109.520,364.813
370,78.789,364.585
371,198.008,366.240
372,243.196,362.364
373,399.987,369.776
374,601.050,370.235
375,458.524,371.250
376,489.963,371.480
377,980.481,373.276
378,1134.734,372.011
379,1154.541,371.633
380,213.749,383.182
381,474.876,377.647
382,948.877,379.477
383,964.256,377.495
384,356.826,383.569
385,622.557,384.577
386,638.050,382.928
387,390.729,383.459
388,987.238,386.631
389,1154.227,385.951
390,196.690,391.296
391,681.544,393.173
392,1114.250,390.515
393,1134.846,394.277
394,89.727,400.825
395,475.900,397.645
396,506.031,398.291
397,959.644,403.845
398,1001.865,405.246
399,372.532,401.850
400,654.757,406.823
401,983.474,409.267
402,352.661,408.595
403,708.044,411.016
404,1124.938,408.689
405,1156.505,409.462
406,631.484,411.216
407,681.391,409.337
408,382.724,414.960
409,369.001,415.864
410,479.729,419.150
411,505.797,419.117
412,526.033,419.323
413,119.803,421.179
414,263.575,427.412
415,687.703,427.136
416,1130.409,424.738
417,8.081,423.215
418,246.153,429.688
419,622.937,428.158
420,1151.226,430.701
421,664.974,428.042
422,969.810,428.919
423,98.864,431.582
424,989.682,432.811
425,215.830,433.040
426,357.783,430.784
427,487.534,435.078
428,703.061,438.550
429,1012.412,441.808
430,522.958,439.507
431,658.090,444.754
432,230.243,443.505
433,507.386,444.161
434,724.513,442.955
435,17.196,446.344
436,123.086,447.976
437,1144.306,446.959
438,218.793,449.351
439,370.385,449.095
440,107.333,451.236
441,677.347,454.490
442,710.254,452.308
443,245.458,457.288
444,90.076,456.871
445,271.589,456.639
446,646.818,460.451
447,459.861,464.457
448,990.210,464.037
449,531.009,464.565
450,688.669,463.271
451,510.987,467.255
452,1007.623,465.940
453,493.712,469.228
454,130.065,473.894
455,708.651,472.017
456,110.790,472.663
457,228.715,471.444
458,387.421,471.034
459,83.654,471.140
460,260.423,476.493
461,680.761,475.443
462,732.238,473.716
463,33.870,473.424
464,371.318,476.831
465,659.264,477.501
466,648.691,482.185
467,13.995,480.577
468,479.917,485.184
469,41.029,486.240
470,722.057,484.054
471,69.044,487.442
472,393.558,487.542
473,506.374,487.724
474,1014.485,489.410
475,103.999,491.649
476,234.243,496.107
477,252.038,496.399
478,382.703,492.842
479,12.755,495.351
480,712.474,495.233
481,754.560,496.751
482,491.106,500.718
483,729.429,494.183
484,123.589,503.853
485,993.119,503.098
486,93.989,504.285
487,44.893,507.761
488,265.308,505.899
489,690.208,504.770
490,144.441,507.278
491,371.277,505.293
492,398.326,508.015
493,381.063,510.994
494,721.748,508.960
495,742.391,512.586
496,769.549,517.676
497,356.535,516.146
498,26.818,522.831
499,663.256,517.996
500,676.027,519.624
501,248.121,527.794
502,372.832,520.358
503,1027.241,522.691
504,154.533,524.597
505,815.598,521.245
506,1006.627,527.431
507,133.787,528.291
508,282.141,529.535
509,52.557,528.069
510,689.266,525.109
511,354.406,527.573
512,989.246,530.349
513,116.638,535.270
514,728.866,530.737
515,399.388,536.018
516,412.809,533.676
517,658.123,534.683
518,683.612,537.487
519,773.923,539.572
520,267.490,540.449
521,380.677,544.300
522,695.102,537.086
523,719.015,540.475
524,171.171,548.693
525,1031.066,542.949
526,362.661,546.981
527,671.909,549.260
528,999.184,549.528
529,695.828,553.373
530,765.951,552.329
531,421.452,556.216
532,1019.972,562.721
533,263.796,560.168
534,716.360,562.802
535,739.040,560.361
536,784.515,561.011
537,398.012,560.748
538,1039.768,566.636
539,43.227,565.045
540,60.159,570.091
541,621.097,570.404
542,659.331,566.230
543,282.900,567.314
544,379.474,568.146
545,749.029,575.637
546,770.890,577.050
547,1007.002,578.931
548,412.614,580.792
549,734.730,577.812
550,561.442,584.069
551,671.802,580.099
552,987.998,585.714
553,709.904,583.900
554,853.654,584.947
555,795.253,584.675
556,284.042,583.772
557,839.426,585.371
558,45.747,586.325
559,69.681,590.867
560,688.056,590.293
561,205.264,586.630
562,435.020,589.945
563,643.916,590.051
564,624.385,592.941
565,1033.339,591.256
566,404.031,596.580
567,189.232,595.851
568,543.666,598.201
569,285.159,599.597
570,1049.835,600.494
571,304.743,601.740
572,793.472,603.079
573,207.329,611.770
574,269.511,608.830
575,452.678,607.097
576,566.007,606.671
577,775.711,605.071
578,707.072,609.679
579,1022.676,614.949
580,429.427,613.061
581,995.802,614.037
582,180.807,613.719
583,679.534,617.531
584,632.619,623.831
585,719.832,620.426
586,285.904,615.675
587,299.025,622.703
588,533.036,623.184
589,795.181,622.378
590,556.038,623.870
591,1043.133,633.515
592,1127.695,631.625
593,324.058,634.144
594,698.659,633.261
595,1009.182,630.062
596,305.279,632.429
597,450.268,638.840
598,578.576,633.927
599,469.625,640.036
600,542.589,638.241
601,64.234,643.192
602,87.968,642.181
603,275.135,641.649
604,433.796,643.290
605,193.777,643.652
606,207.508,642.810
607,1005.334,645.609
608,1096.897,641.965
609,223.261,645.208
610,302.772,645.772
611,720.806,646.584
612,606.109,647.970
613,654.359,646.373
614,686.386,643.143
615,1023.897,651.340
616,566.326,650.836
617,635.401,653.183
618,329.487,651.560
619,345.426,653.242
620,251.586,657.530
621,685.238,658.462
622,1135.216,657.294
623,463.673,664.087
624,285.311,660.161
625,52.609,666.076
626,549.911,661.877
627,86.303,668.748
628,207.805,662.851
629,223.706,663.735
630,310.606,662.859
631,586.014,664.938
632,707.631,667.986
633,437.405,667.373
634,1145.476,668.157
635,235.462,666.611
636,537.877,669.102
637,1004.122,671.294
638,615.365,675.513
639,558.443,671.488
640,302.212,675.063
641,1134.682,677.652
642,30.919,678.704
643,571.395,681.396
644,288.037,675.038
645,634.957,675.846
646,658.284,679.013
647,736.849,681.617
648,994.321,679.067
649,1029.394,680.381
650,1047.746,681.463
651,1105.566,677.446
652,258.601,680.228
653,69.665,679.150
654,335.001,681.792
655,479.981,689.409
656,449.677,692.143
657,718.956,693.735
658,1017.141,691.914
659,278.645,693.433
660,316.041,691.198
661,67.590,699.452
662,83.116,692.623
663,97.449,694.803
664,243.584,692.618
665,297.275,695.394
666,587.315,695.549
667,551.198,701.872
668,15.275,699.692
669,48.392,701.683
670,344.401,703.007
671,571.621,707.860
672,680.580,708.341
673,1038.139,708.598
674,1144.864,709.185
675,703.863,708.489
676,337.871,711.423
677,817.125,707.699
678,253.423,717.349
679,464.407,714.800
680,89.285,713.172
681,1063.733,717.370
682,278.734,715.966
683,483.909,718.790
684,749.841,719.526
685,841.516,713.863
686,325.634,722.999
687,818.910,720.789
688,43.868,725.519
689,64.461,728.539
690,106.055,726.158
691,575.652,730.251
692,1154.757,729.645
693,559.487,737.627
694,864.004,734.358
695,89.783,730.764
696,302.645,733.209
697,836.447,732.901
698,364.383,735.666
699,450.879,734.328
700,265.774,740.298
701,338.323,739.116
702,477.752,743.176
703,282.377,742.150
704,243.152,743.563
705,770.012,744.929
706,82.760,751.300
707,108.680,747.508
708,359.656,750.001
709,453.958,753.133
710,416.892,750.255
711,702.738,748.710
712,850.352,751.064
713,66.498,751.902
714,312.571,755.323
715,375.761,752.783
716,287.598,754.544
717,396.770,760.036
718,537.089,756.004
719,1078.518,756.500
720,238.927,758.470
721,757.670,758.924
722,834.170,760.820
723,876.069,761.631
724,563.615,763.776
725,1062.551,761.085
726,727.540,767.505
727,107.094,765.167
728,270.813,766.487
729,431.372,766.235
730,473.918,765.930
731,63.195,770.633
732,856.358,765.786
733,1108.238,773.223
734,412.310,767.890
735,903.359,772.807
736,93.463,772.111
737,288.824,774.539
738,701.143,775.786
739,243.761,773.340
740,254.470,775.220
741,866.277,775.755
742,386.475,775.667
743,780.432,779.522
744,299.602,779.824
745,552.360,783.515
746,889.689,780.147
747,747.257,777.015
748,409.617,780.039
749,116.661,781.940
750,1082.827,783.354
751,77.581,784.987
752,426.575,786.385
753,452.237,793.222
754,753.641,793.227
755,857.250,791.041
756,716.220,790.063
757,264.380,790.958
758,1122.523,790.978
759,93.310,795.218
760,391.486,790.078
761,414.624,791.525
762,65.408,794.580
763,246.513,796.331
764,106.665,794.722
765,279.439,794.219
766,128.670,799.972
767,733.652,798.005
768,1110.823,799.800
769,433.733,803.858
770,768.021,799.289
771,1139.650,804.203
772,885.555,804.913
773,902.801,804.536
774,1099.718,804.258
775,273.032,806.891
776,412.038,809.960
777,780.297,810.498
778,863.700,818.242
779,80.596,815.740
780,103.979,815.134
781,259.668,812.786
782,62.485,818.087
783,449.036,815.356
784,740.773,816.330
785,894.617,819.577
786,403.538,824.716
787,566.245,823.878
788,1125.933,822.150
789,131.036,820.905
790,761.913,824.262
791,909.928,824.159
792,583.931,823.579
793,448.457,835.261
794,1110.240,830.723
795,258.876,835.636
796,105.637,834.103
797,429.707,833.331
798,740.773,836.274
799,1139.719,836.033
800,138.243,836.027
801,890.905,836.113
802,920.302,838.855
803,123.149,841.543
804,586.868,839.591
805,875.929,847.746
806,84.762,847.904
807,105.149,850.805
808,1121.872,850.624
809,426.206,850.613
810,934.259,853.287
811,137.815,853.589
812,575.771,856.203
813,454.765,854.958
814,598.054,858.488
815,1146.939,861.763
816,441.411,866.491
817,565.043,866.929
818,894.576,868.373
819,475.167,868.852
820,146.304,869.784
821,421.655,866.158
822,929.364,869.328
823,85.742,877.675
824,101.944,873.557
825,1127.282,876.053
826,368.576,879.648
827,606.079,874.082
828,586.248,877.918
829,919.274,877.605
830,428.209,881.458
831,1149.016,878.634
832,283.570,891.113
833,121.868,887.141
834,576.071,886.027
835,610.785,891.309
836,1133.023,887.829
837,106.730,890.134
838,893.679,896.496
839,462.239,890.808
840,499.803,890.759
841,938.500,893.739
842,479.697,895.891
843,919.096,894.123
844,377.823,900.192
845,594.904,900.968
846,961.652,901.160
847,532.655,904.138
848,306.386,905.842
849,359.391,907.677
850,450.907,909.850
851,504.683,906.510
852,468.552,911.349
853,926.944,912.654
854,284.826,915.613
855,974.177,915.367
856,436.088,915.507
857,959.441,920.873
858,109.815,917.583
859,913.387,925.096
860,512.746,927.074
861,315.648,930.318
862,536.229,928.951
863,943.536,929.141
864,298.860,927.992
865,395.313,929.671
866,119.595,930.462
867,156.659,930.587
868,364.855,933.839
869,445.862,935.126
870,465.375,931.953
871,984.927,938.269
872,495.649,939.382
873,336.866,941.595
874,380.722,937.783
875,919.578,941.814
876,309.073,946.619
877,463.925,946.157
878,171.492,948.684
879,287.829,946.780
880,944.202,944.599
881,405.599,949.005
882,612.366,946.622
883,972.296,953.291
884,144.664,949.561
885,189.340,951.547
886,375.171,949.087
887,513.374,952.684
888,486.360,954.363
889,934.575,958.914
890,162.821,957.786
891,613.001,962.434
892,458.728,964.143
893,533.340,963.608
894,953.860,964.952
895,499.304,963.793
896,411.506,967.351
897,637.053,972.009
898,919.887,973.381
899,148.595,968.291
900,553.335,967.768
901,690.202,969.054
902,185.218,972.526
903,202.037,972.109
904,474.267,975.508
905,981.218,974.879
906,157.786,982.834
907,1009.965,983.108
908,666.672,978.945
909,616.244,984.887
910,685.337,991.491
911,170.966,988.436
912,401.281,990.190
913,424.673,988.292
914,588.014,989.595
915,949.606,986.124
916,972.128,988.037
917,991.553,986.580
918,186.081,988.927
919,244.150,994.742
920,147.284,998.378
921,471.231,998.817
922,559.803,997.960
923,637.904,999.616
924,454.130,1004.127
925,948.128,1001.544
926,923.530,1003.251
927,1021.344,1006.239
928,431.822,1007.164
929,967.858,1004.301
930,163.863,1008.545
931,190.131,1008.203
932,990.857,1006.735
933,413.129,1005.692
934,616.383,1009.907
935,212.294,1012.443
936,232.260,1010.740
937,179.002,1016.658
938,243.085,1018.380
939,419.156,1020.945
940,923.200,1024.765
941,988.852,1020.380
942,473.627,1023.220
943,1009.976,1023.819
944,974.509,1026.944
945,197.663,1029.030
946,172.480,1032.864
947,631.336,1033.730
948,263.127,1036.310
949,246.765,1037.034
950,1000.248,1035.983
951,16.430,1039.477
952,222.318,1037.724
953,1019.668,1038.044
954,1035.689,1043.005
955,196.221,1048.348
956,479.351,1051.986
957,440.243,1053.112
958,178.280,1053.112
959,1023.236,1053.212
960,1045.870,1055.913
961,222.204,1055.246
962,270.967,1058.525
963,945.019,1059.715
964,14.180,1065.012
965,206.262,1059.161
966,1012.214,1061.558
967,36.431,1068.181
968,250.775,1069.766
969,1040.199,1070.948
970,221.519,1073.665
971,192.717,1075.483
972,477.184,1073.659
973,270.945,1077.262
974,660.651,1078.658
975,946.323,1079.026
976,1024.206,1081.834
977,932.752,1083.918
978,28.017,1089.414
979,484.222,1090.016
980,212.202,1092.064
981,241.672,1090.860
982,677.129,1091.730
983,49.260,1096.706
984,254.631,1094.026
985,228.626,1096.542
986,511.610,1102.855
987,725.096,1097.062
988,290.744,1101.079
989,465.475,1104.028
990,1050.357,1105.775
991,953.012,1103.917
992,265.420,1103.783
993,740.485,1106.243
994,684.941,1106.756
995,928.374,1104.952
996,16.108,1109.384
997,489.428,1106.686
998,240.495,1114.420
999,709.013,1111.264
1000,273.359,1115.394
1001,41.318,1119.131
1002,939.907,1122.174
1003,964.571,1121.512
1004,257.880,1121.668
1005,501.868,1125.836
1006,670.689,1126.307
1007,284.999,1122.788
1008,304.983,1130.832
1009,485.531,1129.649
1010,1054.102,1131.117
1011,725.249,1128.004
1012,518.133,1134.270
1013,66.713,1134.927
1014,271.639,1135.890
1015,710.571,1134.182
1016,760.525,1138.803
1017,695.892,1138.262
1018,926.453,1140.688
1019,1029.152,1138.255
1020,291.591,1143.076
1021,978.548,1140.992
1022,496.060,1143.823
1023,735.037,1146.396
1024,479.121,1149.628
1025,678.083,1149.623
1026,1003.217,1148.002
1027,1077.399,1150.920
1028,964.766,1154.281
1029,320.818,1153.054
1030,510.261,1155.453
1031,705.326,1151.418
1032,531.343,1155.708
1033,1041.040,1158.656
1034,1016.636,1160.806
